Nom Magasin,Sessions,% de visiteurs qui reviennent,Visiteurs
Lorcamat - Koenigsmacker,36,0.25806451612903225,31
MCF - Dompierre-sur-Besbre - E-commerce,36,0.6666666666666666,27
Socomatra - Nouméa,36,0.3333333333333333,27
Sud Ardennes Matériaux -  Vouziers,36,0.25806451612903225,31
Vialleix  - Ussel,36,0.28125,32
Bouchard - Lombez - E-commerce,35,0.3,30
Durruty Matériaux - Bénesse-Maremne - E-commerce,35,0.45454545454545453,33
Lorcamat - Cons-la-Grandville,35,0.3103448275862069,29
Sosaca - Grimaud,35,0.39285714285714285,28
Derrey - Bruyères - E-commerce,34,0.43478260869565216,23
Legrand - Mondoubleau - E-commerce,34,0.42857142857142855,28
Pomes Darré - Lalanne-Trie,34,0.39285714285714285,28
Cayreyre - Lalevade-dArdèche,33,0.35714285714285715,28
MCF - Varennes-sur-Allier - E-commerce,33,0.5714285714285714,28
Maisonnier - LIsle-Jourdain - E-commerce,33,0.39285714285714285,28
Terrasson - Saint-Maurice-la-Clouère,33,0.28125,32
Trullen - Lavaveix-les-Mines,33,0.6666666666666666,18
Artisans du Velay - Brives-Charensac,32,0.4166666666666667,24
CGB - Brienne-le-Château,32,0.6190476190476191,21
Derrey - Vézelise - E-commerce,32,0.4090909090909091,22
Garrigues - Rieupeyroux,32,0.18518518518518517,27
Lorcamat - Sarralbe,32,0.25,32
Sodimat - Attichy,32,0.2962962962962963,27
Sosaca - Draguignan,32,0.125,32
Trullen -  Le Grand-Bourg,32,0.5,24
GBMC - Val de Saône - Arc Lès Gray,31,0.25806451612903225,31
Matériaux Jobert - Charny,31,0.48,25
Sodimat - Formerie,31,0.56,25
Bouillier Matériaux - Cousance,30,0.4090909090909091,22
François Matériaux - Saint-Flour - E-commerce,30,0.375,24
Maraj - Sainte-Marie (La Mare) - E-commerce,30,0.4,25
Marion Matériaux - Quillan,30,0.46153846153846156,26
Pagani Distribution - Saint-Lupicin,30,0.38461538461538464,26
Pomes Darré - Plaisance du Gers,30,0.23076923076923078,26
Vialleix Brico - Bort-les-Orgues - E-commerce,30,0.5416666666666666,24
Bouillier Matériaux - Saint-Amour,29,0.42105263157894735,19
Dufrançais - Cunlhat,29,0.6111111111111112,18
François Matériaux - Saint-Chély-dApcher - E-commerce,29,0.2608695652173913,23
GCCO - Luzy - E-commerce,29,0.6086956521739131,23
Négomat - Villars-les-Dombes,29,0.35,20
Vallier - Viuz-en-Sallaz,29,0.44,25
Guenée Matériaux - Maen Roch,28,0.5,16
MCF - Cosne-dAllier - E-commerce,27,0.34782608695652173,23
Viviès - Gourbeyre (Guadeloupe),27,0.28,25
Bernard Reymond - Embrun,26,0.5625,16
Delmonico Dorel - Le Teil,26,0.45454545454545453,22
GBMC - Val de Saône - Mirebeau sur Bèze,26,0.6666666666666666,15
Peuzin et Cie - Serres,26,0.6111111111111112,18
Bonnefoy Pascal - Saint-André-Capcèze - E-commerce,25,0.3333333333333333,15
Bouillier Matériaux - Bletterans,25,0.3333333333333333,18
Kammerer - Waldighoffen,25,0.7142857142857143,14
Lorcamat - Rohrbach-lès-Bitche,25,0.3684210526315789,19
Martinique Matériaux - Rivière-Salée (Martinique),25,0.47058823529411764,17
Jacq - Bannalec - E-commerce,24,0.3684210526315789,19
Joly - Sagy - E-commerce,24,0.4090909090909091,22
Trullen - Sauviat-sur-Vige,24,0.26666666666666666,15
Anchetti - Sagone,23,0.55,20
Bouillier Matériaux - Orgelet,23,0.38095238095238093,21
Derrey - Ligny-en-Barrois,23,0.3333333333333333,18
François Matériaux - Baraqueville - E-commerce,23,0.4444444444444444,18
Matériaux Maitre - Saint-Trivier-de-Courtes,23,0.2608695652173913,23
SDM - Les Vans,23,0.3888888888888889,18
Bléger - Hilsenheim,22,0.7142857142857143,14
Brochard - Poilly-lez-Gien - E-commerce,22,0.3,20
Comptoir des Matériaux - Bucey-lès-Gy,22,0.5,18
Delmonico Dorel - Saint-Just-dArdèche,22,0.4,20
Fourgeaud - Chasseneuil-sur-Bonnieure,22,0.35294117647058826,17
Bernard Reymond - Chateauvieux,21,0.75,8
CGB - Montier-en-Der,21,0.19047619047619047,21
Matériaux de Maintenon - Hanches,21,0.5294117647058824,17
Pagani Distribution - Port,21,0.3888888888888889,18
Stoker - Bligny-sur-Ouche,21,0.3684210526315789,19
Vallier - Taninges,21,0.3125,16
Bléger - Sélestat,20,0.5,12
Bonnefoy Pascal - Costaros - E-commerce,20,0.5,18
CGB - Bar-sur-Seine,20,0.2631578947368421,19
