Sessions,SKU de produit,Nom des produits
1,23744936,Bloc-porte coupe-feu EI60 prépeint à chant droit Ep.56 mm H.78x54mm - 204 x 83 cm - droit poussant - serrure de sûreté 1 point
1,23893917,Pierre naturelle de l'YONNE
1,24010924,Marteau perforateur GBH 5-40 DCE - 1150W
1,24059169,"Poteau en Pin du Nord vert - 9 x 9 cm L.2,40 m"
1,24088428,Porte de service en sapin brut TARBES gauche poussant - 200x90cm dormant 43X46mm
1,24093798,Galets blancs granulométrie 40/60mm sac de 25kg
1,24093880,Sable à maçonner roulé 0/4 - 1m3
1,24094306,Sable à maçonner granulométrie 0/4mm en big bag 1m3 gris
1,24115063,Enduit hydrofuge SIKA MORTIER FONDATION SP gris ciment sac de 25kg
1,24126892,"Fil unifilaire cuivre HO7VU 1,5 rouge - bobine de 100 m "
1,24126953,"Câble électrique U1000R2V 3G1,5mm² - en couronne de 50 m - noir"
1,24175739,Géotextile TENCATE BIDIM BATIGEO 10 100x4m
1,24231961,Bâche de protection légère verte/verte - 4 x 5 m
1,24237628,"Poteau en Pin du Nord marron - 9 x 9 cm L.2,40 m"
1,24245135,Vitrificateur parquets-escaliers mat - pot 5l
1,24254380,"Jet deau en bois exotique rouge section 34x50mm long.2,40m"
1,24291002,Peinture déco acrylique mur & plafond mat blanc 5L GEDIMAT PERFORMANCE PRO
1,24291019,Peinture déco acrylique mur & plafond mat blanc 10L GEDIMAT PERFORMANCE PRO
1,24291033,Peinture déco acrylique mur & plafond satin blanc 10L GEDIMAT PERFORMANCE PRO
1,24291064,Sous-couche plaque plâtre déco acrylique 5L GEDIMAT PERFORMANCE PRO
1,24330558,Console acier peint double grise long.370mm vrac 1 pièce
1,24367493,Disque velcro 6 trous D150 grain 80
1,24548113,"Plaque de plâtre standard PLACOPLATRE NF BA13 - 2,60 x 1,20 m"
1,24548199,"Plaque de plâtre standard PLACOPLATRE BA13 - 2,50x0,60m"
1,24567503,Drain agricole annelé diam.100mm couronne long.50m
1,24593540,Plâtre en poudre manuel LUTECE 2000 LONG - sac de 33kg
1,24594080,"Doublage polyuréthane PLACOTHERM+ 13+40 - 2,50x1,20m - R=1,90m².K/W"
1,24597302,Enduit joint PLACOJOINT PR 1H - sac de 25kg
1,24597425,Mortier MAP FORMULE +63S - sac de 25kg
1,24599405,"Doublage polystyrène expansé hydrofuge PLACOMUR E 13+40 - 2,50 x 1,20 m Ep.53 mm - R=1,30m².K/W"
1,24602037,"Plaque de plâtre acoustique PLACO PHONIQUE BA13 - 2,50x0,60m"
1,24603379,"Plaque de plâtre ignifuge PLACOFLAM NF BA13 - 2,50 x 1,20 m"
1,24636575,Brique platrière cloison - 385 x 50 x 200 mm
1,24640619,Meuleuse 230mm 2000W GA9050KX
1,24643962,"Laine de verre TI 212 revêtue kraft - 15x1,2m Ep.60mm - R=1,50m².K/W."
1,24645966,Appui OPTIMA 2 75mm - boite de 50 pièces
1,24647434,"Laine de verre à souffler COMBLISSIMO - sac de 17,3kg"
1,24649117,"Laine de verre GR 32 roulé revêtue kraft - 5,40 x 1,20 m Ep.85 mm - R=2,65m².K/W."
1,24653886,"Tube PVC pression emboîture à coller SEPEREF JC PN16 - 110x8,1mm 6m"
1,24654654,Tube PVC usage divers - D100mm 4m
1,24656948,Rail R48 NF - 3 m
1,24659291,Bordure béton T2 - 100x15x25cm
1,24665988,Chaux hydraulique CemaChaux grise HL 5 CE - sac de 25 kg
1,24673853,"Gouttière demi-ronde sans pince - CLASSIC naturel - Boudin 14 - 0,65x166mm 2m"
1,24673891,"Gouttière demi-ronde sans pince - CLASSIC naturel - Boudin 14 - 0,65x333mm 2m"
1,24677660,"Plaque de sol FIBRE GYPSE FERMACELL sans isolant BD20 - 1,50 x 0,50 m"
1,24677851,Arêtier à emboîtement - flammé rustique - 758
1,24678032,"Rouleau plomb lisse ép.1,5mm long.5m larg.20cm"
1,24679329,"Chevron Sapin/Epicéa section 63x75mm long.4,00m"
1,24679350,"Chevron Sapin/Epicéa section 63x75mm long.6,00m"
1,24679473,"Madrier Sapin/Epicéa section 75x225mm long.3,50m"
1,24679480,"Madrier Sapin/Epicéa section 75x225mm long.3,00m"
1,24679497,"Madrier Sapin/Epicéa section 75x225mm long.6,00m"
1,24679503,"Madrier Sapin/Epicéa section 75x225mm long.4,50m"
1,24679534,"Madrier Sapin/Epicéa section 75x225mm long.5,50m"
1,24679541,"Madrier Sapin/Epicéa section 75x225mm long.5,00m"
