rayon,URL de la page,Sessions,Taux de rebond des pages
Tuyaux - Gaines - Grillages avertisseurs,https://www.gedimat.fr/1-materiaux-construction/6-assainissement-vrd/25-tuyaux-gaines-grillages-avertisseurs,8309,0.5444705882352942
Tasseaux,https://www.gedimat.fr/4-bois-panneaux/27-agencement/110-tasseaux,8200,0.5330216247808299
Chevrons - Lambourdes,https://www.gedimat.fr/2-couverture-bardage/311-bois-de-charpente/93-chevrons-lambourdes,7954,0.40791223404255317
Dalles planchers,https://www.gedimat.fr/4-bois-panneaux/28-panneaux-dalles/112-dalles-planchers,7879,0.4949748743718593
Isolation Thermique par Extérieur,https://www.gedimat.fr/3-isolation-cloison/17-isolation-thermique-et-phonique/74-isolation-thermique-par-exterieur,7851,0.5423875432525952
Bordures de jardin,https://www.gedimat.fr/14-amenagements-exterieurs/88-revetements-sols-exterieurs/329-bordures-de-jardin,7811,0.655786350148368
Terrasses en bois,https://www.gedimat.fr/12-revetement-sols-murs/79-revetements-sols-exterieurs/375-terrasses-en-bois,7699,0.45054945054945056
"Sols vinyles, PVC et SPC",https://www.gedimat.fr/12-revetement-sols-murs/78-revetements-sols-interieurs/320-sols-vinyles-pvc-et-spc,7675,0.6409495548961425
Brises-vue - Canisses,https://www.gedimat.fr/14-amenagements-exterieurs/90-portails-clotures-amenagements/394-brises-vue-canisses,7664,0.49452641599238456
Tubes et Raccords d&#039;alimentation eau,https://www.gedimat.fr/8-plomberie/52-alimentation/219-tubes-et-raccords-d-alimentation-eau,7546,0.5045296167247387
Clins - Bardages,https://www.gedimat.fr/2-couverture-bardage/9-clins-bardage/45-clins-bardages,7450,0.5930232558139535
Conduits de cheminée - Boisseaux,https://www.gedimat.fr/1-materiaux-construction/1-construction/9-conduits-de-cheminee-boisseaux,7375,0.5119470073338065
Portes de garage,https://www.gedimat.fr/5-menuiserie-amenagement/32-menuiserie-exterieure/142-portes-de-garage,7324,0.4052967604634665
Bordures,https://www.gedimat.fr/1-materiaux-construction/6-assainissement-vrd/33-bordures,7288,0.4839002267573696
"Revêtements décoratifs, lambris",https://www.gedimat.fr/5-menuiserie-amenagement/33-revetement-sols-et-murs/311-revetements-decoratifs-lambris,6811,0.43092018032352164
Bois d&#039;ossature aboutés,https://www.gedimat.fr/4-bois-panneaux/25-bois-d-ossature/102-bois-d-ossature-aboutes,6800,0.49622166246851385
Placards,https://www.gedimat.fr/5-menuiserie-amenagement/30-menuiserie-interieure/125-placards,6797,0.4592516658124039
Feutres géotextiles,https://www.gedimat.fr/1-materiaux-construction/6-assainissement-vrd/35-feutres-geotextiles,6775,0.4904580152671756
Panneaux de toitures,https://www.gedimat.fr/2-couverture-bardage/8-toiture/43-panneaux-de-toitures,6679,0.47762408462164363
Escaliers,https://www.gedimat.fr/5-menuiserie-amenagement/30-menuiserie-interieure/123-escaliers,6675,0.35976855003403674
Clouterie - Visserie,https://www.gedimat.fr/16-quincaillerie/100-fixation-assemblage/457-clouterie-visserie,6608,0.4240774349667272
Pierres naturelles,https://www.gedimat.fr/1-materiaux-construction/4-revetement-sols-exterieurs/324-pierres-naturelles,6405,0.43243243243243246
Liteaux - Lattes,https://www.gedimat.fr/2-couverture-bardage/8-toiture/95-liteaux-lattes,6347,0.4936410739519548
Tablettes,https://www.gedimat.fr/4-bois-panneaux/27-agencement/129-tablettes,6335,0.5630007283321194
Liteaux - Lattes,https://www.gedimat.fr/4-bois-panneaux/23-bois-de-charpente/95-liteaux-lattes,6120,0.6201550387596899
Sols stratifiés,https://www.gedimat.fr/12-revetement-sols-murs/78-revetements-sols-interieurs/318-sols-stratifies,6075,0.6075949367088608
Plafonds suspendus,https://www.gedimat.fr/3-isolation-cloison/18-plafonds/75-plafonds-suspendus,6051,0.508724832214765
Enduits - Colles,https://www.gedimat.fr/3-isolation-cloison/21-accessoires-outillage/85-enduits-colles,6019,0.5066518847006651
Accessoires plaques de plâtre,https://www.gedimat.fr/3-isolation-cloison/21-accessoires-outillage/87-accessoires-plaques-de-platre,5996,0.5276353276353276
Cabines de douche,https://www.gedimat.fr/6-salle-de-bain-sanitaire/35-douches/160-cabines-de-douche,5932,0.47168882323978334
Protection des fondations,https://www.gedimat.fr/1-materiaux-construction/7-protection-etancheite/36-protection-des-fondations,5859,0.487962962962963
Bétonnières - Brouettes - Malaxeurs,https://www.gedimat.fr/15-outillage/98-materiel-outils-de-chantier-atelier/447-betonnieres-brouettes-malaxeurs,5853,0.4477508650519031
Parquets,https://www.gedimat.fr/5-menuiserie-amenagement/33-revetement-sols-et-murs/317-parquets,5705,0.35555555555555557
Cuisines sur mesure,https://www.gedimat.fr/7-cuisine/46-meubles-de-cuisine/190-cuisines-sur-mesure,5621,0.46078431372549017
Carrelages sols extérieurs,https://www.gedimat.fr/14-amenagements-exterieurs/88-revetements-sols-exterieurs/325-carrelages-sols-exterieurs,5613,0.6013289036544851
Vasques - Plans vasques,https://www.gedimat.fr/6-salle-de-bain-sanitaire/38-vasques-lavabos/172-vasques-plans-vasques,5530,0.5549348230912476
Panneaux lattés et lamellés-collés,https://www.gedimat.fr/4-bois-panneaux/28-panneaux-dalles/119-panneaux-lattes-et-lamelles-colles,5477,0.5628654970760234
Cheminées - Poêles,https://www.gedimat.fr/9-chauffage-traitement-de-l-air/59-chauffage/247-cheminees-poeles,5460,0.5367464905037159
Lames à volet,https://www.gedimat.fr/4-bois-panneaux/26-bois-d-habillage/106-lames-a-volet,5456,0.5772893772893772
Outillage polyvalent,https://www.gedimat.fr/15-outillage/94-outils/414-outillage-polyvalent,5291,0.5266666666666666
Rives - Faîtages,https://www.gedimat.fr/2-couverture-bardage/8-toiture/1631-rives-faitages,5182,0.48431801604668123
Métaux de couverture,https://www.gedimat.fr/2-couverture-bardage/8-toiture/40-metaux-de-couverture,5059,0.6065573770491803
Parquets,https://www.gedimat.fr/12-revetement-sols-murs/78-revetements-sols-interieurs/317-parquets,4947,0.6171171171171171
Margelles,https://www.gedimat.fr/12-revetement-sols-murs/79-revetements-sols-exterieurs/1171-margelles,4896,0.4787750151607035
Panneaux fibres - MDF - HDF,https://www.gedimat.fr/4-bois-panneaux/28-panneaux-dalles/118-panneaux-fibres-mdf-hdf,4806,0.5027233115468409
Fils - Câbles,https://www.gedimat.fr/10-electricite-eclairage/66-fils-cables-gaines-tubes/269-fils-cables,4712,0.5181395348837209
Planches de rives - Sous-faces,https://www.gedimat.fr/4-bois-panneaux/26-bois-d-habillage/46-planches-de-rives-sous-faces,4710,0.5904572564612326
Pavés - Dallages,https://www.gedimat.fr/12-revetement-sols-murs/79-revetements-sols-exterieurs/323-paves-dallages,4704,0.63671875
Plots - Avivés,https://www.gedimat.fr/4-bois-panneaux/22-bois-brut/89-plots-avives,4693,0.6153846153846154
Radiateurs électriques,https://www.gedimat.fr/9-chauffage-traitement-de-l-air/59-chauffage/242-radiateurs-electriques,4673,0.462891698735569
Interrupteurs - Prises,https://www.gedimat.fr/10-electricite-eclairage/64-appareillages-modulaires/262-interrupteurs-prises,4664,0.46472564389697646
Clins - Bardages,https://www.gedimat.fr/4-bois-panneaux/26-bois-d-habillage/45-clins-bardages,4638,0.5414847161572053
Voliges,https://www.gedimat.fr/4-bois-panneaux/23-bois-de-charpente/94-voliges,4557,0.5106382978723404
Chauffe-eau et Accessoires,https://www.gedimat.fr/6-salle-de-bain-sanitaire/44-production-d-eau-chaude/238-chauffe-eau-et-accessoires,4554,0.4362618432385874
Traitements des eaux,https://www.gedimat.fr/1-materiaux-construction/6-assainissement-vrd/27-traitements-des-eaux,4509,0.5462184873949579
Éviers,https://www.gedimat.fr/7-cuisine/47-eviers-robinetterie/196-eviers,4465,0.4075425790754258
Panneaux de coffrage,https://www.gedimat.fr/4-bois-panneaux/28-panneaux-dalles/120-panneaux-de-coffrage,4463,0.4921090387374462
Consommables et Accessoires,https://www.gedimat.fr/15-outillage/96-outils-electro-portatif/437-consommables-et-accessoires,4448,0.47509578544061304
Moulures,https://www.gedimat.fr/5-menuiserie-amenagement/30-menuiserie-interieure/128-moulures,4389,0.5308092056421678
Ragréage,https://www.gedimat.fr/12-revetement-sols-murs/81-accessoires-outillage/336-ragreage,4375,0.39812775330396477
Echelles - Echafaudages - Goulottes,https://www.gedimat.fr/1-materiaux-construction/5-accessoires-outillage/442-echelles-echafaudages-goulottes,4304,0.41591987348444914
Colonnes et Combinés de douches,https://www.gedimat.fr/6-salle-de-bain-sanitaire/35-douches/162-colonnes-et-combines-de-douches,4303,0.4446546830652791
"Revêtements décoratifs, lambris",https://www.gedimat.fr/12-revetement-sols-murs/77-revetements-murs-plafonds-interieurs/311-revetements-decoratifs-lambris,4266,0.5661764705882353
Profilés - Tôles - Fers,https://www.gedimat.fr/16-quincaillerie/101-quincaillerie-du-batiment/463-profiles-toles-fers,4201,0.4958217270194986
Ardoises et Accessoires,https://www.gedimat.fr/2-couverture-bardage/8-toiture/39-ardoises-et-accessoires,4146,0.5303314571607255
Outillage du maçon,https://www.gedimat.fr/1-materiaux-construction/5-accessoires-outillage/415-outillage-du-macon,4124,0.5293532338308458
Baignoires - Tabliers,https://www.gedimat.fr/6-salle-de-bain-sanitaire/36-bain-bien-etre/164-baignoires-tabliers,4005,0.40492957746478875
Drains,https://www.gedimat.fr/1-materiaux-construction/6-assainissement-vrd/31-drains,3973,0.454639709694142
Panneaux mélaminés,https://www.gedimat.fr/4-bois-panneaux/28-panneaux-dalles/114-panneaux-melamines,3923,0.46905766526019693
Accessoires isolation,https://www.gedimat.fr/3-isolation-cloison/21-accessoires-outillage/961-accessoires-isolation,3786,0.6126401630988787
Sols stratifiés,https://www.gedimat.fr/5-menuiserie-amenagement/33-revetement-sols-et-murs/318-sols-stratifies,3779,0.41035353535353536
Poteaux contre-collés,https://www.gedimat.fr/4-bois-panneaux/24-bois-de-structure/99-poteaux-contre-colles,3750,0.5128205128205128
Habillages de façade,https://www.gedimat.fr/1-materiaux-construction/2-facade/12-habillages-de-facade,3740,0.6106442577030813
Abris de jardin,https://www.gedimat.fr/13-plein-air-loisirs/83-abris/346-abris-de-jardin,3737,0.4896265560165975
Perceuses visseuses,https://www.gedimat.fr/15-outillage/96-outils-electro-portatif/428-perceuses-visseuses,3680,0.49514563106796117
